"sid","mode","orbit","cloud_flag","quality_flag","time","sif740_D","sif757_D","sif771_D","sif740","sif740_U","sif757","sif757_U","rad757","sif771","sif771_U","rad771","lon_1","lon_2","lon_3","lon_4","lat_1","lat_2","lat_3","lat_4","sza","saa","vza","vaa","pa","raa","humidity","surface_pressure","temp_skin","temp_2m","vpd","wind","igbp_class","percent_cover","lai_cop","incoming_sw_era5","incoming_direct_era5","incoming_diffuse_era5"
2020061216591808,3,6283,0,0,2020-06-12 16:59:28,0.576241493225098,0.304372787475586,0.309299468994141,1.34238624572754,0.335987091064453,0.709053039550781,0.291008949279785,65.1251831054688,0.720529556274414,0.227060317993164,64.172233581543,-106.913208007812,-106.891540527344,-106.893981933594,-106.913452148438,39.309326171875,39.3236694335938,39.3407592773438,39.3286743164062,31.5578002929688,111.14013671875,36.079833984375,217.397827148438,-52.958834632266,106.257690429688,0.00361537933349609,74045.5625,292.930969238281,293.863739013672,2012.8369140625,1.29562473297119,1,100,2.78,857.297,767.344,89.953
2020061216591875,3,6283,0,0,2020-06-12 16:59:28,0.216620445251465,0.153610229492188,0.090144157409668,0.504878044128418,0.280123710632324,0.358020782470703,0.24201774597168,58.7085571289062,0.210100173950195,0.189652442932129,57.6044731140137,-106.86865234375,-106.850402832031,-106.8505859375,-106.870178222656,39.2742919921875,39.28515625,39.3053588867188,39.2931518554688,31.5116577148438,111.13671875,35.5782470703125,218.355102539062,-52.8885877004627,107.218383789062,0.00411415100097656,76166.7421875,292.313812255859,296.569915771484,2378.18701171875,1.31278514862061,1,100,1.874,861.812,771.828,89.984
2020061216591877,3,6283,0,0,2020-06-12 16:59:28,0.399141311645508,0.190075874328613,0.228075981140137,0.930121421813965,0.298843383789062,0.442934036254883,0.260515213012695,57.6465835571289,0.531485557556152,0.200997352600098,56.4320602416992,-106.870971679688,-106.851379394531,-106.850646972656,-106.871948242188,39.315185546875,39.327392578125,39.3475952148438,39.3336181640625,31.5277709960938,111.195739746094,35.9107055664062,217.733581542969,-52.9096492184941,106.537841796875,0.00341510772705078,73042.890625,292.762420654297,292.732147216797,1876.91076660156,1.31701564788818,1,100,3.171,861.812,771.828,89.984
2020061216591878,3,6283,0,0,2020-06-12 16:59:28,0.19451904296875,0.209737777709961,0.0330801010131836,0.453251838684082,0.315010070800781,0.488713264465332,0.274070739746094,59.4363250732422,0.0770816802978516,0.212181091308594,57.8747215270996,-106.872192382812,-106.851013183594,-106.849487304688,-106.8720703125,39.3356323242188,39.349365234375,39.3704833984375,39.3552856445312,31.5352172851562,111.231323242188,36.0813598632812,217.425537109375,-52.9205525774191,106.194213867188,0.00367069244384766,75053.4140625,293.009002685547,295.22998046875,2213.87036132812,1.32156848907471,1,100,3.58,861.812,771.828,89.984
2020061216591902,3,6283,0,0,2020-06-12 16:59:28,0.225445747375488,0.0262374877929688,0.182905197143555,0.525722503662109,0.316829681396484,0.0611839294433594,0.266738891601562,61.7228469848633,0.426519393920898,0.218382835388184,61.2324867248535,-106.848693847656,-106.830017089844,-106.828491210938,-106.84912109375,39.2235717773438,39.2350463867188,39.2565307617188,39.2432861328125,31.4784545898438,111.080993652344,35.0781860351562,219.3134765625,-52.8399390656836,108.232482910156,0.00414848327636719,75154.4453125,291.762664794922,295.305450439453,2168.03442382812,1.3291711807251,1,100,3.247,861.812,771.828,89.984
2020061216591906,3,6283,0,0,2020-06-12 16:59:29,0.0803985595703125,0.0768871307373047,0.020207405090332,0.187390327453613,0.251237869262695,0.179204940795898,0.214971542358398,44.200122833252,0.0470991134643555,0.171272277832031,43.4995422363281,-106.850646972656,-106.831787109375,-106.830810546875,-106.851257324219,39.3062744140625,39.3177490234375,39.339111328125,39.3260498046875,31.5091552734375,111.206298828125,35.742431640625,218.055786132812,-52.8799711769455,106.849487304688,0.00334072113037109,72403.5703125,292.621246337891,291.945739746094,1780.0771484375,1.33403491973877,1,100,2.891,861.812,771.828,89.984
2020061216591907,3,6283,0,0,2020-06-12 16:59:29,0.298134803771973,0.279296875,0.0788106918334961,0.694826126098633,0.289824485778809,0.650924682617188,0.255719184875488,56.0630073547363,0.183673858642578,0.193146705627441,53.2266120910645,-106.851318359375,-106.8310546875,-106.828308105469,-106.8505859375,39.3274536132812,39.34033203125,39.362548828125,39.34765625,31.5166625976562,111.240112304688,35.9108276367188,217.747192382812,-52.8905273575834,106.507080078125,0.00354766845703125,74023.1015625,292.845886230469,293.957550048828,2035.15258789062,1.33628177642822,1,100,2.913,861.812,771.828,89.984
2020061216591934,3,6283,0,0,2020-06-12 16:59:29,0.339023590087891,0.233711242675781,0.145546913146973,0.790404319763184,0.237419128417969,0.544878005981445,0.204548835754395,39.4033584594727,0.339329719543457,0.161065101623535,39.6481399536133,-106.830200195312,-106.811157226562,-106.811462402344,-106.830444335938,39.2771606445312,39.2888793945312,39.308837890625,39.2972412109375,31.4832153320312,111.184387207031,35.409423828125,218.68896484375,-52.8403601504952,107.504577636719,0.00320625305175781,71126.3984375,292.289215087891,290.296051025391,1588.40405273438,1.35245895385742,1,100,2.303,861.812,771.828,89.984
2020061216591935,3,6283,0,0,2020-06-12 16:59:29,0.15021800994873,0.159159660339355,0.0274209976196289,0.350193023681641,0.23805046081543,0.371036529541016,0.206000328063965,43.3332557678223,0.0639247894287109,0.160979270935059,41.676887512207,-106.830505371094,-106.811218261719,-106.810668945312,-106.831787109375,39.2976684570312,39.3096313476562,39.3304443359375,39.3167724609375,31.49072265625,111.215942382812,35.573974609375,218.380004882812,-52.8504598973602,107.1640625,0.00313472747802734,70956.625,292.489837646484,290.056579589844,1567.95275878906,1.35239124298096,1,100,2.653,861.812,771.828,89.984
2020061216591936,3,6283,0,0,2020-06-12 16:59:29,0.242297172546387,0.214431762695312,0.0724210739135742,0.564807891845703,0.254978179931641,0.499850273132324,0.219749450683594,46.1523704528809,0.168817520141602,0.17293643951416,43.8815689086914,-106.831726074219,-106.810729980469,-106.809692382812,-106.830749511719,39.3178100585938,39.3313598632812,39.352783203125,39.3391723632812,31.4978637695312,111.252075195312,35.7432861328125,218.069702148438,-52.8609116448208,106.817626953125,0.00351333618164062,73576.5703125,292.705108642578,293.409851074219,1960.1455078125,1.35375690460205,1,100,2.343,861.812,771.828,89.984
