"SoundingID","MeasurementMode","OrbitID","cloud_flag_abp","Quality_Flag","Delta_Time","longitude","latitude","SIF_Daily_740nm","SIF_Daily_757nm","SIF_Daily_771nm","SIF_740nm","SIF_Uncertainty_740nm","SIF_757nm","SIF_Uncertainty_757nm","SIF_Relative_757nm","continuum_radiance_757nm","SIF_771nm","SIF_Uncertainty_771nm","SIF_Relative_771nm","continuum_radiance_771nm","lon_1","lon_2","lon_3","lon_4","lat_1","lat_2","lat_3","lat_4","SZA","SAz","VZA","VAz","PA","RAz","specific_humidity","surface_pressure","temperature_skin","temperature_two_meter","vapor_pressure_deficit","wind_speed","IGBP_index","sounding_land_fraction","clump","lai_cop","incoming_sw_era5","incoming_direct_era5","incoming_diffuse_era5"
2020061621543006,3,6348,0,0,2020-06-16 21:54:40,-106.926574707031,41.0316162109375,-0.0593166351318359,0.113039016723633,-0.128085136413574,-0.125978469848633,0.305102348327637,0.240077972412109,0.263938903808594,0.00351238250732422,68.358154296875,-0.27203369140625,0.206371307373047,-0.00421237945556641,64.5786361694336,-106.957763671875,-106.930725097656,-106.90478515625,-106.9326171875,41.0374145507812,41.0221557617188,41.0275268554688,41.0430297851562,38.8006591796875,255.948974609375,35.4285888671875,298.105712890625,-25.2704700555516,42.15673828125,0.00414943695068359,72320.296875,293.527587890625,290.744476318359,1529.25610351562,6.16336345672607,1,100,0.485015974440895,1.494,987.029,892.042,94.987
2020061621543031,3,6348,0,0,2020-06-16 21:54:40,-107.029235839844,40.987060546875,0.801403999328613,0.444442749023438,0.41606330871582,1.70409393310547,0.418288230895996,0.94505786895752,0.361793518066406,0.00908374786376953,104.041473388672,0.884711265563965,0.282963752746582,0.00873279571533203,101.314254760742,-107.053466796875,-107.032409667969,-107.009521484375,-107.029907226562,40.9896240234375,40.9774780273438,40.98388671875,40.9957275390625,38.71533203125,255.912780761719,34.723388671875,299.79052734375,-26.0890712977768,43.8777465820312,0.00541400909423828,77387.3671875,294.326965332031,296.634582519531,2220.654296875,7.04909706115723,8,100,0.535689361702128,2.701,987.029,892.042,94.987
2020061621543032,3,6348,0,0,2020-06-16 21:54:40,-107.005249023438,40.9937744140625,0.751181602478027,0.833282470703125,0.112195014953613,1.59687232971191,0.415194511413574,1.77140426635742,0.355295181274414,0.0170831680297852,103.695037841797,0.238506317138672,0.283023834228516,0.002288818359375,104.202018737793,-107.028503417969,-107.008178710938,-106.986206054688,-107.005737304688,40.9959716796875,40.984130859375,40.990966796875,41.00244140625,38.7345581054688,255.925903320312,34.8626708984375,299.451782226562,-25.9229989033651,43.52587890625,0.00478267669677734,75143.6875,294.051605224609,294.073760986328,1898.02111816406,6.78376770019531,1,100,0.526931216931217,4.571,987.029,892.042,94.987
2020061621543035,3,6348,0,0,2020-06-16 21:54:40,-106.931335449219,41.0132446289062,0.0625801086425781,0.0459413528442383,0.0249996185302734,0.13292407989502,0.308099746704102,0.0975828170776367,0.266613960266113,0.00133419036865234,73.1226654052734,0.0530996322631836,0.208352088928223,0.00075531005859375,70.2777099609375,-106.955444335938,-106.934326171875,-106.909362792969,-106.931884765625,41.0156860351562,41.0035400390625,41.0092163085938,41.0219116210938,38.7936401367188,255.968078613281,35.2847290039062,298.451293945312,-25.4291194701613,42.4832153320312,0.00401782989501953,71371.15625,293.375427246094,289.643463134766,1415.10314941406,6.05556583404541,1,100,0.498578332662102,1.4,987.029,892.042,94.987
2020061621543036,3,6348,0,0,2020-06-16 21:54:40,-106.904113769531,41.018798828125,0.0129671096801758,0.133698463439941,-0.077606201171875,0.0275344848632812,0.310462951660156,0.28389835357666,0.268746376037598,0.00403594970703125,70.3404541015625,-0.164790153503418,0.20989990234375,-0.00248336791992188,66.3630905151367,-106.9306640625,-106.908203125,-106.883361816406,-106.904602050781,41.0221557617188,41.0094604492188,41.0152587890625,41.0274658203125,38.8150024414062,255.985534667969,35.4290161132812,298.123413085938,-25.2656773817052,42.1378784179688,0.00423049926757812,72448.2265625,293.150512695312,290.826019287109,1529.42517089844,5.79877471923828,1,100,0.508098256735341,1.613,987.029,892.042,94.987
2020061621543072,3,6348,0,0,2020-06-16 21:54:40,-106.984924316406,40.98193359375,0.505926132202148,0.326166152954102,0.232268333435059,1.07548809051514,0.405409812927246,0.693357467651367,0.343929290771484,0.00694942474365234,99.7732925415039,0.493751525878906,0.278011322021484,0.00495243072509766,99.6992568969727,-107.008117675781,-106.987365722656,-106.964721679688,-106.986145019531,40.984130859375,40.9719848632812,40.9785766601562,40.990966796875,38.7476196289062,255.95947265625,34.861328125,299.466430664062,-25.9177945064012,43.5069580078125,0.00427818298339844,73418.4296875,293.856536865234,292.083526611328,1683.251953125,6.53035068511963,9,100,0.529410781445884,4.142,987.029,892.042,94.987
2020061621543073,3,6348,0,0,2020-06-16 21:54:40,-106.959716796875,40.98828125,0.111594200134277,0.269190788269043,-0.080265998840332,0.237118721008301,0.336472511291504,0.57198429107666,0.291165351867676,0.00746250152587891,76.6483688354492,-0.170551300048828,0.2275390625,-0.00220394134521484,77.3846282958984,-106.984680175781,-106.962890625,-106.937316894531,-106.96044921875,40.9912109375,40.9786987304688,40.9840698242188,40.9971923828125,38.7677001953125,255.974182128906,35.00341796875,299.127319335938,-25.7506184833126,43.1531372070312,0.00418472290039062,72718.3203125,293.567687988281,291.222900390625,1584.04760742188,6.24970245361328,1,100,0.484607614607615,2.778,987.029,892.042,94.987
2020061621543074,3,6348,0,0,2020-06-16 21:54:40,-106.933349609375,40.9940185546875,0.0538206100463867,0.103468894958496,-0.0211381912231445,0.114326477050781,0.314769744873047,0.219789505004883,0.27167797088623,0.00304508209228516,72.1837692260742,-0.0449028015136719,0.213263511657715,-0.000622749328613281,72.1069259643555,-106.959167480469,-106.936157226562,-106.912353515625,-106.934997558594,40.9973754882812,40.9843139648438,40.990478515625,41.0033569335938,38.7884521484375,255.990600585938,35.1453857421875,298.795043945312,-25.5858819156459,42.804443359375,0.00427150726318359,72795.46875,293.267242431641,291.247436523438,1576.603515625,5.95476722717285,1,100,0.485854222907829,2.165,987.029,892.042,94.987
2020061621543075,3,6348,0,0,2020-06-16 21:54:40,-106.907897949219,41,0.351624488830566,0.15975284576416,0.206052780151367,0.746711730957031,0.316254615783691,0.339252471923828,0.274248123168945,0.00447845458984375,75.7583312988281,0.437576293945312,0.213537216186523,0.00602912902832031,72.5773773193359,-106.934265136719,-106.911499023438,-106.886596679688,-106.909301757812,41.0034790039062,40.9906005859375,40.9963989257812,41.0091552734375,38.8086547851562,256.005981445312,35.2860717773438,298.469177246094,-25.4242265631904,42.4631958007812,0.00429725646972656,72619.421875,292.975311279297,290.988891601562,1541.31860351562,5.67009735107422,1,100,0.494481295796375,1.76,987.029,892.042,94.987
2020061621543101,3,6348,0,0,2020-06-16 21:54:40,-106.987426757812,40.9630737304688,0.0947265625,0.224820137023926,-0.0656795501708984,0.201382637023926,0.408803939819336,0.477954864501953,0.355085372924805,0.00481414794921875,99.2894287109375,-0.139630317687988,0.27569580078125,-0.00140666961669922,99.2825546264648,-107.010620117188,-106.990173339844,-106.966369628906,-106.988525390625,40.9649047851562,40.953369140625,40.9593505859375,40.9716796875,38.7421264648438,255.981140136719,34.7214965820312,299.816955566406,-26.0770183636683,43.8358154296875,0.00486087799072266,75232.46875,293.926635742188,294.191528320312,1905.91284179688,6.53015327453613,5,100,0.575057276198558,3.976,987.029,892.042,94.987
