"sid","mode","orbit","cloud_flag","quality_flag","time","sif740_D","sif757_D","sif771_D","sif740","sif740_U","sif757","sif757_U","rad757","sif771","sif771_U","rad771","lon_1","lon_2","lon_3","lon_4","lat_1","lat_2","lat_3","lat_4","sza","saa","vza","vaa","pa","raa","humidity","surface_pressure","temp_skin","temp_2m","vpd","wind","igbp_class","percent_cover","lai_cop","incoming_sw_era5","incoming_direct_era5","incoming_diffuse_era5"
2020062617243532,3,6500,0,0,2020-06-26 17:24:45,0.757452011108398,0.648256301879883,0.241119384765625,2.20076465606689,0.466119766235352,1.88349914550781,0.398251533508301,132.111862182617,0.700569152832031,0.318083763122559,132.47248840332,-59.8782958984375,-59.8662719726562,-59.8469848632812,-59.8590087890625,3.07440185546875,3.0574951171875,3.05816650390625,3.0750732421875,28.3643798828125,317.327880859375,40.4591064453125,358.345153808594,-25.5614031630545,41.0172729492188,0.0161705017089844,99767.453125,304.228210449219,303.546630859375,1774.88647460938,3.60749435424805,2,100,5.194,895.639,781.783,113.856
2020062617244878,3,6500,0,0,2020-06-26 17:24:58,0.870216369628906,0.533672332763672,0.417743682861328,2.52394390106201,0.451999664306641,1.54784488677979,0.393577575683594,121.349754333496,1.21160984039307,0.304267883300781,117.693702697754,-59.2761840820312,-59.2642211914062,-59.2459106445312,-59.2578735351562,2.40069580078125,2.38372802734375,2.384521484375,2.40142822265625,29.3056030273438,317.311706542969,40.3986206054688,356.157104492188,-24.3339785457173,38.8453979492188,0.0172357559204102,98700.7578125,301.705780029297,301.232604980469,1092.57641601562,2.0638484954834,2,100,4.058,891.043,775.579,115.464
2020062617244907,3,6500,0,0,2020-06-26 17:24:59,0.823720932006836,0.394166946411133,0.469418525695801,2.38938331604004,0.423317909240723,1.14336776733398,0.370582580566406,115.609924316406,1.36165046691895,0.283817291259766,113.986038208008,-59.284423828125,-59.2724609375,-59.254150390625,-59.2660522460938,2.38299560546875,2.36614990234375,2.366943359375,2.3834228515625,29.3139038085938,317.341918945312,40.4072265625,356.534423828125,-24.5061005676171,39.1925048828125,0.0172348022460938,98632.0078125,301.683258056641,301.175231933594,1081.89428710938,2.04378128051758,2,100,5.456,890.062,774.678,115.384
2020062617244908,3,6500,0,0,2020-06-26 17:24:59,0.582437515258789,0.351251602172852,0.283555030822754,1.68927001953125,0.432399749755859,1.01875114440918,0.378758430480957,109.805358886719,0.822405815124512,0.289774894714355,107.903137207031,-59.2642211914062,-59.2522583007812,-59.2339477539062,-59.2459106445312,2.3836669921875,2.36712646484375,2.36761474609375,2.38446044921875,29.3270874023438,317.315185546875,40.3986206054688,356.158569335938,-24.3294989853742,38.8433837890625,0.0172243118286133,98544.6953125,301.645233154297,301.085296630859,1066.10229492188,1.99885368347168,2,100,5.464,890.213,774.817,115.396
2020062617244937,3,6500,0,0,2020-06-26 17:24:59,0.501142501831055,0.33582592010498,0.221575736999512,1.45366382598877,0.408520698547363,0.97413158416748,0.359867095947266,110.583770751953,0.642724990844727,0.272590637207031,107.484016418457,-59.2723999023438,-59.2604370117188,-59.2421264648438,-59.2540893554688,2.3660888671875,2.349365234375,2.3499755859375,2.36688232421875,29.335205078125,317.345092773438,40.406982421875,356.535888671875,-24.5017687638732,39.1907958984375,0.0171613693237305,98256.5078125,301.623504638672,300.831481933594,1028.34033203125,1.97962093353271,2,100,6.089,889.081,773.777,115.304
2020062617244938,3,6500,0,0,2020-06-26 17:24:59,0.60844612121582,0.395108222961426,0.277435302734375,1.76469326019287,0.421848297119141,1.1459436416626,0.36739444732666,106.551643371582,0.804654121398926,0.283930778503418,103.53141784668,-59.2522583007812,-59.240234375,-59.221923828125,-59.23388671875,2.3670654296875,2.35028076171875,2.3507080078125,2.36761474609375,29.348388671875,317.318359375,40.3983764648438,356.160034179688,-24.3250499657266,38.8416748046875,0.0171642303466797,98223.578125,301.586761474609,300.790985107422,1019.91162109375,1.9360179901123,2,100,6.046,889.081,773.777,115.304
2020062617244973,3,6500,0,0,2020-06-26 17:24:59,1.01867866516113,0.624049186706543,0.489459991455078,2.95638465881348,0.39863109588623,1.81110000610352,0.343135833740234,104.03271484375,1.42049694061279,0.270603179931641,105.872566223145,-59.341064453125,-59.3291015625,-59.309814453125,-59.32177734375,2.3460693359375,2.3292236328125,2.330078125,2.34686279296875,29.3041381835938,317.454345703125,40.4495239257812,358.027404785156,-25.2042223426631,40.5730590820312,0.0172901153564453,98783.53125,301.705535888672,301.339324951172,1105.66088867188,2.08418750762939,2,100,3.925,889.081,773.777,115.304
2020062617244977,3,6500,0,0,2020-06-26 17:24:59,0.59784984588623,0.492209434509277,0.203282356262207,1.73417091369629,0.399330139160156,1.42774105072021,0.351502418518066,101.120109558105,0.589657783508301,0.266615867614746,102.796737670898,-59.2604370117188,-59.2484130859375,-59.2301025390625,-59.2420654296875,2.34930419921875,2.33245849609375,2.33294677734375,2.349853515625,29.3567504882812,317.348510742188,40.4071044921875,356.536926269531,-24.4973332123843,39.1884155273438,0.0171775817871094,98206.953125,301.564666748047,300.781616210938,1016.39453125,1.91642761230469,2,100,6.04,889.081,773.777,115.304
2020062617245004,3,6500,0,0,2020-06-26 17:24:59,0.532872200012207,0.361676216125488,0.232546806335449,1.5462760925293,0.407158851623535,1.04950428009033,0.35206413269043,118.819206237793,0.674798965454102,0.275493621826172,119.944282531738,-59.3088989257812,-59.296875,-59.277587890625,-59.2896118164062,2.3299560546875,2.3131103515625,2.3138427734375,2.33087158203125,29.3388671875,317.43115234375,40.4375,357.65478515625,-25.0219806942985,40.2236328125,0.0172529220581055,98492.28125,301.609222412109,301.061370849609,1057.92846679688,1.97667980194092,2,100,6.088,889.081,773.777,115.304
2020062617245007,3,6500,0,0,2020-06-26 17:25:00,0.638071060180664,0.442398071289062,0.272241592407227,1.85082149505615,0.412598609924316,1.28324317932129,0.363365173339844,110.009483337402,0.789678573608398,0.27536678314209,109.195938110352,-59.2484130859375,-59.2363891601562,-59.2180786132812,-59.2300415039062,2.3323974609375,2.3154296875,2.31591796875,2.33294677734375,29.3783569335938,317.35205078125,40.4074096679688,356.537902832031,-24.4929364132076,39.1858520507812,0.0172319412231445,98292.109375,301.507049560547,300.852813720703,1021.10180664062,1.85458087921143,2,100,6.045,889.081,773.777,115.304
