"SoundingID","MeasurementMode","OrbitID","cloud_flag_abp","Quality_Flag","Delta_Time","longitude","latitude","Daily_SIF_740nm","Daily_SIF_757nm","Daily_SIF_771nm","SIF_740nm","SIF_Uncertainty_740nm","SIF_757nm","SIF_Uncertainty_757nm","continuum_radiance_757nm","SIF_771nm","SIF_Uncertainty_771nm","continuum_radiance_771nm","lon_1","lon_2","lon_3","lon_4","lat_1","lat_2","lat_3","lat_4","SZA","SAz","VZA","VAz","PA","RAz","specific_humidity","surface_pressure","temperature_skin","temperature_two_meter","vapor_pressure_deficit","wind_speed","IGBP_index","sounding_land_fraction","clump","lai_cop","incoming_sw_era5","incoming_direct_era5","incoming_diffuse_era5"
2020061223290972,3,6287,0,0,2020-06-12 23:29:19,-107.289184570312,41.2343139648438,0.802490234375,0.819751739501953,0.166823387145996,1.20988655090332,0.347943305969238,1.23591136932373,0.297939300537109,73.294059753418,0.251514434814453,0.237071990966797,73.5399398803711,-107.315124511719,-107.292114257812,-107.268859863281,-107.291687011719,41.2373046875,41.2244873046875,41.2310791015625,41.2438354492188,56.4871826171875,272.773315429688,31.5447998046875,293.070922851562,-28.4003003874011,20.297607421875,0.0037841796875,77041.9296875,299.556945800781,297.136749267578,2513.27880859375,2.65152740478516,10,100,0.570985697719366,1.277,729.97,643.357,86.6130000000001
2020061223290973,3,6287,0,0,2020-06-12 23:29:19,-107.264282226562,41.2412109375,0.356233596801758,0.127853393554688,0.231416702270508,0.536819458007812,0.29323673248291,0.192667007446289,0.251660346984863,58.9947128295898,0.348729133605957,0.199481964111328,58.4064598083496,-107.290283203125,-107.267395019531,-107.244201660156,-107.2666015625,41.2442016601562,41.2314453125,41.2380981445312,41.2506713867188,56.505615234375,272.78466796875,31.6993408203125,292.714660644531,-28.1776830945966,19.9299926757812,0.00388813018798828,77535.515625,299.441009521484,297.640716552734,2588.8916015625,2.60381126403809,10,100,0.609801247077163,0.862,729.97,643.357,86.6130000000001
2020061223290975,3,6287,0,0,2020-06-12 23:29:19,-107.216369628906,41.255126953125,0.524564743041992,0.29350471496582,0.270610809326172,0.78974437713623,0.318082809448242,0.441877365112305,0.27547550201416,75.4430999755859,0.40740966796875,0.214975357055664,74.3247222900391,-107.2412109375,-107.219543457031,-107.19775390625,-107.218322753906,41.2576904296875,41.245361328125,41.2525634765625,41.2645263671875,56.5410766601562,272.806030273438,32.0015869140625,292.022094726562,-27.7433021978179,19.216064453125,0.00387477874755859,77185.1328125,299.23779296875,297.148498535156,2503.33374023438,2.51687812805176,8,100,0.572013256006628,1.921,729.97,643.357,86.6130000000001
2020061223290976,3,6287,0,0,2020-06-12 23:29:19,-107.193420410156,41.2626342773438,0.447894096374512,0.572691917419434,0.0163335800170898,0.673900604248047,0.304837226867676,0.861671447753906,0.266061782836914,63.7860717773438,0.0245752334594727,0.20484447479248,63.2413291931152,-107.21728515625,-107.196899414062,-107.174255371094,-107.1943359375,41.2648315429688,41.2529296875,41.2598876953125,41.2716674804688,56.5579833984375,272.815734863281,32.1538696289062,291.676635742188,-27.5249984377332,18.8609008789062,0.00372123718261719,75774.0390625,299.152648925781,295.473541259766,2243.17724609375,2.478346824646,1,100,0.637962648556876,1.963,729.97,643.357,86.6130000000001
2020061223290977,3,6287,0,0,2020-06-12 23:29:19,-107.169311523438,41.269775390625,-0.0744743347167969,-0.109169960021973,0.00658035278320312,-0.112001419067383,0.27197265625,-0.164179801940918,0.238203048706055,49.9457359313965,0.00989627838134766,0.182282447814941,47.8295669555664,-107.192993164062,-107.172668457031,-107.149475097656,-107.171264648438,41.272216796875,41.2603759765625,41.2664794921875,41.2787475585938,56.5758666992188,272.826416015625,32.3075561523438,291.334777832031,-27.3073102226569,18.5083618164062,0.00370502471923828,75411.359375,299.066467285156,295.016052246094,2173.05688476562,2.43875885009766,1,100,0.557544086021505,1.724,729.97,643.357,86.6130000000001
2020061223290978,3,6287,0,0,2020-06-12 23:29:19,-107.145751953125,41.2772216796875,0.183329582214355,0.236865997314453,0.00504970550537109,0.275580406188965,0.301887512207031,0.356056213378906,0.263266563415527,55.3936614990234,0.00759029388427734,0.20298957824707,53.3882331848145,-107.169128417969,-107.147644042969,-107.12548828125,-107.147399902344,41.279541015625,41.2673950195312,41.2738037109375,41.2861328125,56.59326171875,272.836547851562,32.4622802734375,290.9931640625,-27.0886136833674,18.1566162109375,0.00366401672363281,74568.6796875,298.990631103516,294.014221191406,2026.84033203125,2.40228843688965,1,100,0.514283898305085,1.516,729.97,643.357,86.6130000000001
2020061223291001,3,6287,0,0,2020-06-12 23:29:19,-107.29248046875,41.2155151367188,0.639923095703125,0.382853507995605,0.313584327697754,0.964805603027344,0.323083877563477,0.577224731445312,0.279626846313477,62.340950012207,0.47278881072998,0.21845817565918,60.9629554748535,-107.316772460938,-107.294982910156,-107.271789550781,-107.293395996094,41.2176513671875,41.2053833007812,41.2119140625,41.2241821289062,56.4865112304688,272.784423828125,31.3887939453125,293.436645507812,-28.6362709812815,20.6522216796875,0.00370407104492188,76175.8203125,299.531799316406,296.143005371094,2354.73291015625,2.64807891845703,1,100,0.571680194805195,2.373,729.97,643.357,86.6130000000001
2020061223291003,3,6287,0,0,2020-06-12 23:29:19,-107.242736816406,41.22900390625,0.409759521484375,0.635919570922852,-0.0597162246704102,0.617190361022949,0.321144104003906,0.957839012145996,0.279211044311523,70.773796081543,-0.0899457931518555,0.216425895690918,70.3911209106445,-107.267395019531,-107.245239257812,-107.222595214844,-107.244140625,41.2314453125,41.2188720703125,41.2257080078125,41.2380981445312,56.5234375,272.807250976562,31.6959838867188,292.724853515625,-28.1929389054063,19.9176025390625,0.00389862060546875,77364.921875,299.287414550781,297.404449462891,2545.47875976562,2.55008697509766,10,100,0.537944,1.133,729.97,643.357,86.6130000000001
2020061223291004,3,6287,0,0,2020-06-12 23:29:19,-107.218933105469,41.236083984375,0.364475250244141,0.324724197387695,0.107495307922363,0.548726081848145,0.318569183349609,0.48888111114502,0.275548934936523,75.50537109375,0.161835670471191,0.21550178527832,73.4976425170898,-107.243041992188,-107.221496582031,-107.199401855469,-107.22021484375,41.2384033203125,41.2260131835938,41.2330322265625,41.2452392578125,56.5410766601562,272.817749023438,31.8484497070312,292.374633789062,-27.9734585388053,19.556884765625,0.00382518768310547,76800.2890625,299.181365966797,296.709625244141,2433.9609375,2.50584888458252,10,100,0.557872689938398,1.941,729.97,643.357,86.6130000000001
2020061223291005,3,6287,0,0,2020-06-12 23:29:20,-107.19580078125,41.2432250976562,0.20062255859375,0.450748443603516,-0.122167587280273,0.301905632019043,0.305425643920898,0.678306579589844,0.267515182495117,69.5505142211914,-0.183843612670898,0.204694747924805,69.2213897705078,-107.219604492188,-107.19873046875,-107.176696777344,-107.19775390625,41.245361328125,41.233154296875,41.240234375,41.2525634765625,56.5581665039062,272.827819824219,31.9996337890625,292.031982421875,-27.7570072523376,19.2041625976562,0.00370502471923828,75408.6953125,299.085327148438,295.062683105469,2180.64575195312,2.46463966369629,1,100,0.540587748344371,2.388,729.97,643.357,86.6130000000001
