SoundingID,MeasurementMode,OrbitID,cloud_flag_abp,Quality_Flag,Delta_Time,longitude,latitude,Daily_SIF_740nm,Daily_SIF_757nm,Daily_SIF_771nm,SIF_740nm,SIF_Uncertainty_740nm,SIF_757nm,SIF_Uncertainty_757nm,continuum_radiance_757nm,SIF_771nm,SIF_Uncertainty_771nm,continuum_radiance_771nm,lon_1,lon_2,lon_3,lon_4,lat_1,lat_2,lat_3,lat_4,SZA,SAz,VZA,VAz,PA,RAz,specific_humidity,surface_pressure,temperature_skin,temperature_two_meter,vapor_pressure_deficit,wind_speed,IGBP_index,sounding_land_fraction,clump,lai_cop,incoming_sw_era5,incoming_direct_era5,incoming_diffuse_era5,SIF740_Sim,SIF757_Sim,SIF771_Sim,REF757_Sim,REF771_Sim,group_by_pa
2020061216595531,3,6283,0,0,2020-06-12 17:00:05,-105.515197753906,39.9633178710938,0.272058486938477,0.0874032974243164,0.183560371398926,0.63929271697998,0.297738075256348,0.20538330078125,0.256216049194336,53.4707183837891,0.431337356567383,0.202155113220215,51.7848815917969,-105.523132324219,-105.501525878906,-105.506591796875,-105.527770996094,39.947265625,39.9605712890625,39.9763793945312,39.9635620117188,30.7037353515625,113.849487304688,22.28857421875,215.663208007812,-40.8932406859079,101.813720703125,0.00370121002197266,75754.671875,296.601745605469,294.327880859375,2063.36987304688,1.77933883666992,1,100,0.522599231754161,1.393,865.418,772.324,93.0940000000001,1.420949935913086,0.9471078,0.4936045700579882,93.4749,83.88140347595214,2.0
2020061216595303,3,6283,0,0,2020-06-12 17:00:02,-105.675476074219,39.90380859375,0.47419548034668,0.237204551696777,0.263370513916016,1.11318016052246,0.301509857177734,0.556839942932129,0.258163452148438,63.2745895385742,0.618267059326172,0.205443382263184,60.5695915222168,-105.682739257812,-105.661010742188,-105.666564941406,-105.688598632812,39.8883666992188,39.9022216796875,39.9176025390625,39.9033813476562,30.799072265625,113.560913085938,22.566162109375,214.493286132812,-40.8925645343079,100.932373046875,0.00293350219726562,69176.8671875,294.841552734375,286.965789794922,1252.74340820312,1.87389945983887,10,100,0.549145622895623,1.26,874.996,783.971,91.025,1.3820274829864503,0.92091846,0.4799059646636248,93.53401,83.92819624099731,2.0
2020061216594877,3,6283,0,0,2020-06-12 16:59:58,-105.969421386719,39.801513671875,0.144988059997559,0.12098217010498,0.0482234954833984,0.339725494384766,0.405805587768555,0.283476829528809,0.355999946594238,106.191917419434,0.112993240356445,0.271641731262207,105.383766174316,-105.976501464844,-105.95654296875,-105.961303710938,-105.981567382812,39.7868041992188,39.7987060546875,39.8140258789062,39.8017578125,30.9782104492188,113.046081542969,23.13720703125,212.274230957031,-40.8899175827075,99.2281494140625,0.00275707244873047,67342.96875,293.100341796875,285.123931884766,1101.18041992188,1.77066898345947,8,100,0.542034383954155,1.078,875.351,785.215,90.136,1.219735074043274,0.8121075,0.4230696941971779,90.56403,81.21038923034669,2.0
2020061216595204,3,6283,0,0,2020-06-12 17:00:01,-105.7421875,39.88330078125,0.28549861907959,0.247931480407715,0.0884895324707031,0.669921875,0.251070022583008,0.581769943237305,0.217190742492676,47.5995407104492,0.207639694213867,0.169827461242676,44.8367385864258,-105.749755859375,-105.72900390625,-105.734313964844,-105.754760742188,39.8677978515625,39.8802490234375,39.8959350585938,39.8838500976562,30.8406372070312,113.447692871094,22.7092895507812,213.935668945312,-40.8864344471204,100.487976074219,0.00318527221679688,72200.2578125,294.494567871094,290.673309326172,1632.53930664062,1.85303497314453,1,100,0.507997335701599,2.034,875.147,784.122,91.0250000000001,1.815172052383423,1.2126545,0.6325575631678104,102.96532,92.57409838867187,2.0
2020061216594778,3,6283,0,0,2020-06-12 16:59:57,-106.035583496094,39.7819213867188,0.307975769042969,0.137027740478516,0.182404518127441,0.721427917480469,0.267715454101562,0.320985794067383,0.231472015380859,41.7175941467285,0.427278518676758,0.181153297424316,40.5920906066895,-106.044067382812,-106.023315429688,-106.02734375,-106.049072265625,39.7654418945312,39.7784423828125,39.7947998046875,39.7806396484375,31.020263671875,112.935974121094,23.2872314453125,211.732299804688,-40.8858921972894,98.7963256835938,0.00330352783203125,72765.1796875,292.667938232422,291.946807861328,1782.55383300781,1.74184894561768,1,100,0.483903719912473,1.726,875.351,785.215,90.136,1.6967984676361083,1.1427817,0.5979420152515172,97.284836,87.6730325302124,2.0
2020061216595432,3,6283,0,0,2020-06-12 17:00:04,-105.584594726562,39.940185546875,0.192745208740234,0.17243480682373,0.0563716888427734,0.452720642089844,0.293254852294922,0.405016899108887,0.248989105224609,54.3766403198242,0.132407188415527,0.200986862182617,52.8551025390625,-105.591979980469,-105.570861816406,-105.576049804688,-105.597595214844,39.9246215820312,39.9376831054688,39.9534912109375,39.93994140625,30.7459716796875,113.728393554688,22.4263916015625,215.085083007812,-40.883862845694,101.356689453125,0.00329685211181641,72985.0625,295.660949707031,291.210479736328,1684.36999511719,1.83109378814697,1,100,0.502308684436801,1.911,865.418,772.324,93.0940000000001,1.7162690639495848,1.1459459,0.5976333660006523,99.82556,89.70179148864746,2.0
2020061216595105,3,6283,0,0,2020-06-12 17:00:01,-105.811157226562,39.8599853515625,-0.0103731155395508,0.0901050567626953,-0.0692901611328125,-0.0243291854858398,0.265718460083008,0.211338043212891,0.232720375061035,54.217903137207,-0.162517547607422,0.178093910217285,52.1308898925781,-105.818420410156,-105.798217773438,-105.802490234375,-105.822875976562,39.8445434570312,39.8566284179688,39.8735961914062,39.8612670898438,30.8828125,113.327819824219,22.849365234375,213.385864257812,-40.8815403412028,100.058044433594,0.00298976898193359,70133.6796875,294.106140136719,288.260711669922,1379.751953125,1.83010196685791,1,100,0.514275043936731,1.697,876.183,785.159,91.024,1.629433822631836,1.0872653,0.5668892786324025,98.76389,88.71834487686158,2.0
2020061216595006,3,6283,0,0,2020-06-12 17:00:00,-105.880676269531,39.8363037109375,-0.150046348571777,-0.256162643432617,0.0374002456665039,-0.351772308349609,0.427215576171875,-0.600553512573242,0.371612548828125,132.387512207031,0.087681770324707,0.287805557250977,123.022438049316,-105.888061523438,-105.867431640625,-105.871887207031,-105.892150878906,39.8206787109375,39.83349609375,39.850341796875,39.837890625,30.9253540039062,113.207092285156,22.99169921875,212.832580566406,-40.8760046449677,99.62548828125,0.00272274017333984,66779.9609375,293.690155029297,284.375640869141,1039.74987792969,1.80459690093994,7,100,0.566223564954683,1.173,875.572,785.2,90.372,1.3429972648620607,0.89472216,0.46621698735952377,92.86566,83.31696412124634,2.0
2020061216595571,3,6283,0,0,2020-06-12 17:00:05,-105.494262695312,39.9760131835938,-0.0380401611328125,0.104960441589355,-0.103786468505859,-0.0893974304199219,0.300193786621094,0.246665954589844,0.261075973510742,54.619571685791,-0.243907928466797,0.20226001739502,54.1891479492188,-105.50146484375,-105.480529785156,-105.485290527344,-105.506591796875,39.9605712890625,39.9734497070312,39.9896240234375,39.9764404296875,30.6932983398438,113.894958496094,22.288330078125,215.677001953125,-40.8753145219107,101.782043457031,0.00369167327880859,75781.171875,296.898803710938,294.211486816406,2046.43579101562,1.765793800354,6,100,0.517367514002585,1.336,865.418,772.324,93.0940000000001,1.4737344264984131,0.9911178,0.5183126416742802,92.09715,82.87580289916991,2.0
2020061216595333,3,6283,0,0,2020-06-12 17:00:03,-105.653991699219,39.9172973632812,-0.00163650512695312,0.123666763305664,-0.0838994979858398,-0.00384235382080078,0.259830474853516,0.290340423583984,0.224454879760742,46.5517921447754,-0.196975708007812,0.175930023193359,46.5011940002441,-105.661010742188,-105.640502929688,-105.645263671875,-105.666564941406,39.9022827148438,39.91455078125,39.9307250976562,39.9176025390625,30.788330078125,113.608032226562,22.5668334960938,214.506774902344,-40.87429914793,100.898742675781,0.00300216674804688,70012.296875,294.969787597656,287.908386230469,1340.38928222656,1.87543964385986,1,100,0.503639964788732,1.972,874.996,783.971,91.025,1.7694376945495605,1.1817487,0.6163657142460346,101.853195,91.55427503433228,2.0
